conversation_id,title
68fbb769-12b4-8325-bd9c-4cada5f9b4e8,2019 LoL World Championship
68fbcd76-d42c-8331-9911-ad96ced2d27a,2019 entry title
68fb65c3-2c80-8328-b568-450a35d11e1b,Animal rating review
68fe8b44-db00-832f-8c08-e1a7bab489e4,April 2020 event title
68fbba8c-2294-832b-bfbf-86a55d7859cb,Article name query
68fe8448-013c-8326-bba7-e14174de8506,Article publication time
68fe86f2-5bd8-832d-8233-d390d3852d4c,Article title identification
68fe894d-adb0-8326-ab10-97e427bf7053,Artifact book title
68fe8ffe-2fa0-8329-87bb-17b9d841c2e5,Artist identification query
68fe8df2-a98c-8331-a131-b026745c4a42,Artist name identification
68d9ab5b-befc-8328-be92-f336a5266c04,Athlete hometown inquiry
68d9a97a-f310-8324-8811-5226e04094e0,Author birthdate inquiry
68fbcd82-88bc-832b-af73-c618419fc971,Author identification query
68fe80bd-9aa0-8331-bbd7-03de676b57d7,Author identification query
68fe7db3-a9c4-832b-a5ba-e75302a68dd8,Author identification query
68fe8716-3234-8327-8d55-0b6166b596f1,Author identification report
68de4938-04ac-8325-bc8a-20f8805fe196,Author identification request
68dee4c8-a85c-832b-85d5-d3ec3e5df73a,Author identification request
68d3b294-7704-832c-a0db-3f4047e74833,Award for mountaineer initiative
68d2576e-4b9c-8326-aec8-17964e5aabc5,Award in paper acknowledgments
68fbb5ec-45a0-8326-8f7c-2920f72fc1b8,Band and album details
68fbbe87-44e4-8326-95ed-18eb09aa80e9,Band formed 1960-1980
68fbcdae-2a0c-8325-a07f-acca13fdb456,Band formed by King Diamond
68fbba27-1750-8326-8467-62a13f3199ce,Band founded by musicians
68fe8fd9-d870-8330-800b-5d984f500d5a,Band identification clues
68fe900c-f828-8325-965c-0a1099ef4e39,Band identification request
68fe8de7-c608-832e-8654-76a9b0e7d374,Band recovery bay name
68d9aa4f-5974-8331-849e-925dec55d309,Beetle species misidentification
68fe8c54-81a4-8330-8aa5-372d97fc4d1d,Bird banding system 2021
68fbb606-c520-8331-b45b-cb4e17c72df2,Blog post inquiry
68fbcf4c-d864-832c-b849-80f7d7633a15,Book author inquiry
68de49db-2104-832d-bea9-3b5783e1b1fa,Book identification puzzle
68fe8702-c7f0-832f-9f96-c4390a130116,Book identification request
68d272f1-98ac-8323-8075-51dfcc111f69,Book subtitle inquiry
68fb65d7-89f8-8332-a8b3-13ceeba04f8e,Book title explanation
68d275c7-c3a0-832c-9b43-099ee4da13d9,Book title identification
68fbb8c9-c538-832a-8e75-ce80fc6912d8,Book title search
68fe8991-4cd4-8326-9b51-242f30b3ffe3,Building name and location
68fbb755-41b4-832b-9d97-d221a4b0c969,Building name identification
68fbb8c0-2858-8329-aca3-85bd852e38b8,Business name inquiry
68fbbe6e-22cc-832c-ab9b-262e1b69317d,COVID-19 article title
68fe8e25-abec-8330-a2f7-a2c8d987e4ac,Card identification request
68fe86e0-6158-8331-8f80-cd548cbbee33,Character mention comparison
68fb6867-c334-8330-ba27-e97faa39eca9,Cited article identification
68fe8483-97a0-832a-b139-7c2262cb4757,City of author birth
68fe80c5-bb6c-832c-a14f-872f538bd7bc,Collection location query
68d2564d-2648-832d-87b0-0cd355d84eb2,College joined by author
68dbdc0a-035c-832a-883a-2693065683de,Company name inquiry
68fb6471-bb40-832b-99c9-54368d2172ff,Competition year and host
68fbb600-f9ec-8331-8cb6-0d8262c8b4d1,Corresponding author lookup
68d3b176-ec70-8326-bda2-7107e0ccbc47,Cover designer search
68fe7e0e-b100-8331-a6c0-759f29afd88d,Curator's city location
68fe8c4b-068c-832e-b835-169332eec52c,DOI search for article
68fbba67-6c7c-8333-a05d-c045a6fa6486,Dataset image count request
68fbba49-96c0-832f-a46f-1398fbbc299b,Date of ethics competition
68fe8b4f-8730-832f-9aaf-945d6f28ba5a,Day of Reparation
68d26c7d-9a08-8326-9f1d-bed963de8076,Dinengdeng Festival winner
68fe81f9-a60c-8333-a013-4489c6c9a4da,Disney writer grandmother search
68fe7dc7-ea30-8326-846b-46fa862a00c3,Dominant compound in Abies
68fbb8a2-0dcc-832f-ad92-8b48036fe121,Driver identification
68d27e84-5eec-8329-95f9-1eb0b0a9bd22,Duncannon Fort history
68d25613-c428-832a-a4a9-c49219cd492f,Editor name inquiry
68d9ab3b-637c-8321-97e1-3f60f4558487,Elevator accident incident
68de4bc7-4844-832a-b8ac-11921fc4344b,Episode 404 title
68fe822c-001c-8325-ba88-a0677ccf98d2,Factions in Old World
68fbcd6b-b37c-832f-96fd-14dad96ba110,Film title identification
68d9ae4d-1988-8321-89ea-6be4184f6a80,Find civil authority name
68fbcc0c-2538-8325-b847-04ff0cecf03d,Find co-founder name
68fe8967-4df8-8328-9391-b93d09bc2d7c,Find last child's name
68d26c10-e500-8332-91ef-a82700f77b84,Find last name match
68fbba7d-ace4-832a-8fae-418cbdefe899,Find third name
68d28005-3030-8327-a98b-67598c700e38,Football coach identification
68fe7dbf-2ae8-8332-8e25-25a9885435de,Foundation renaming year
68fbba3c-1284-8329-9dd3-11b12141e4bf,Founder name lookup
68fe7dd2-8cf8-832a-a4e9-91cbdc081618,Funding amount inquiry
68d3b370-2aa8-8328-a8a3-c0de89d9df43,Fungi Foundation Chile
68fbbe4f-79ec-8327-8a7c-edb67dfa8492,GMO meaning clarification
68fe8973-69a8-832d-8282-cca688ff3528,Game name identification
68fe8dd4-06f4-832d-8413-e872107b0968,Game original name inquiry
68fbb740-6f78-8333-9d8f-23d2e90aea15,Game soundtrack track query
68fe8c76-f7a0-8333-997a-a6a35db0080c,Game studio team members
68fb6872-8ca0-832d-bfbf-2b37aa8e4e65,Game version reference 2020
68d3b1e0-24e0-8324-9915-7058bc562a8a,Gateway Process book quote
68fbcd8c-d294-8329-b7c3-898d53064181,Gentle introduction to metadata
68fbbcb2-6250-832a-9963-83260d0eefe6,Historian criticized for inaccuracies
68fe820b-b324-8327-b52b-1bd3314eb77c,Identify TV show lead
68dee58f-fc30-8325-8034-0650012ec8b7,Identify article author
68fe8215-04c4-832e-819c-6c5edf4e0807,Identify author last name
68fe871e-d80c-8332-9922-cb77b007e4ba,Identify explorer's first name
68fbb796-804c-8328-b8be-a004af9caeb3,Identify individual from details
68d27f0d-5244-832d-8079-ea11fea3db42,Identify person tribe
68fbba5e-29a8-832e-8e66-9ab7629645bf,Illustrator and collaborator details
68d26dbe-bb34-8325-8700-4b18f7829671,Incumbent king's coronation name
68fbcd43-958c-832c-a781-a2c3c400b2cd,International league reference
68d3b424-315c-832b-a703-3f43a9b857c7,Interviewer's first name
68fe847a-21d0-832f-b055-2d82d5922937,Kasetsart University criteria
68fbba51-e2a0-8326-b88f-dee70d2bc52c,Korean champion ability query
68fe848e-c1a4-8331-8f81-eba20b2f2033,LEC Summer 2021 Final
68fe845a-6f70-8326-aadb-918987488803,Landmark identification challenge
68d28441-0450-8333-aef9-81950fa3c0d2,Landmark identification request
68fb6738-d22c-8326-bf87-aa12ca05756c,Letter writer identification
68fbcbf5-38dc-8326-866b-dac132cbcaa1,Librarian and historian query
68fbcc01-ca80-8328-913e-9cefa3ea2896,Lover's identity revealed
68d25220-f754-832b-845b-05b5cf7b8b04,Manga antagonist and movements
68fb6850-188c-8333-8ccf-4cc546b4db4a,Marie of Romania title
68de4bf2-3868-832f-982f-038b9347fc08,Match player identification
68fbb749-ff58-8329-a83c-726af28d4a56,Match substitute inquiry
68fbcd63-b9c0-832f-9b39-2f4c43cb5297,Medical reviewer identified
68dee7ae-8c8c-8331-b807-297d3c3a2680,Miracle fruit identification
68fbbc6c-5f24-8329-b660-82648b32640e,Model full form
68d25883-f830-8322-a8dc-f50086388e2b,Monument dedication inquiry
68fe8e0d-e880-832f-a5e1-0b108baa93e2,Mopane worm protein source
68fe8985-fd88-8329-baf9-0e3116c8a907,Movie review writer clues
68fe8908-0ce8-8331-b3cc-bb34d6a0d999,Mystery settlement identification
68fb64a5-afc8-8325-801d-a9403138f47f,Mystery settlement identified
68fbbc76-6638-8328-818b-ac2b8491d3a9,Name of Olympic medalist
68fbb735-d648-832a-86c9-0c50ef1612a9,New chat
68fe8dfc-4008-8333-8953-e60b89898859,New chat
68fbb8b6-0270-8325-a04b-40cd0e74cbd8,New chat
68fbbc50-45f0-8327-bc7f-afc561c088a4,New chat
68fbb8fb-61f0-832d-997b-c5d3e59a1837,Newspaper founder inquiry
68fbbc9a-9df0-832a-87e5-f4eaf9517095,Olympics flag bearer identity
68fe873a-abcc-832f-a959-19b6ae90bc02,One Red Rose
68d9aa75-6314-8322-8cfb-16bd6e2388dd,Oscar winner search
68dee529-63b8-8327-8e15-258b72179aa7,Paper author search results
68fb6712-c7d4-832d-80b3-b8f9420d66d3,Person A full name
68d3b2cc-e1ac-8333-9ff1-965e192aab7f,Person C identity guess
68fe8462-3a94-8325-b95f-740c1aa109cf,Person identification details
68d25682-9a74-832b-9fbe-f6cb41734e8e,Person in research papers
68fe8223-9b40-8327-8cdb-2dc45a1bed02,Player birth name inquiry
68d143e7-1ec0-832e-8573-8f90e14ee28e,Player name guess
68dee610-11e8-832b-88c0-c2ba5c8cf734,Player of the Match
68fe7e01-2188-8333-9d3a-453e9f38c186,Poet's father fruit type
68fbba71-b344-832c-83aa-62c376811ebb,Position takeover inquiry
68d26b81-254c-8324-bbbf-23434207c0f0,Professor Trefor Jenkins award
68d2828e-1100-8330-bf3e-90bb675a9b00,Program name search
68d3b08e-0f7c-8331-8c4e-b7d15b0eb6d4,Project abbreviation search
68fe8731-cad4-832a-b3ee-0f5c2fe61e34,Relationship breakup date
68d9b022-35f4-8325-ab8b-e5d4466ef3d2,Relationship end date
68fe8e05-8ccc-832b-a69f-05ecc7ffe26b,Research advisor search
68fe8943-a398-8332-a4df-d36e448be75d,Research paper search
68fe8235-a464-832a-a7b9-162d150562c2,Room inspiration for author
68fe870c-9664-8333-abae-4139e2b55f8b,Senior animators surnames
68fe8c61-9f2c-8326-9be4-0830e99adfcc,Shareholding review 2022
68d26cc6-99c4-832e-8c15-a92555bd6f99,Shipwreck captain identification
68dee70d-6334-8332-8d60-e2df33e2ae5d,Short story search
68fb6481-f728-8333-9c3b-e90d646dd5a9,Sligo Abbey identification
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search
68d9acd1-88bc-8329-8137-43f7e9a7b5ba,Source name inquiry
68fbb75f-bb8c-8333-9afa-3db552fc36fa,Sport in author bio
68fbba30-1c4c-8332-afdd-46c228756d1d,Sports position inquiry
68d3b448-577c-8321-977f-fe81ec39417e,Sportsperson accident watch
68fbcbdd-3824-8330-9813-266993e8a68e,Spouse in dissertation acknowledgments
68fbbca7-6aa4-832e-add4-97b4e82ac43f,Station establishment date
68fe8747-1a9c-832c-b254-f3cb15d50ada,Stock buyback availability
68fb64b3-83d0-8327-a75d-230fd085a15a,Study authorship count
68fbbe7e-6410-8333-9890-c9afb3498d6f,Study subject count
68fe84a2-42a8-8333-99b2-90f309f9a00f,Taj-ul-Masajid details
68d2f90f-20f8-8321-8048-f7bef9e62cdc,Team founding year and country
68fbb89a-1288-832b-ac7c-628e1c5760c4,Television documentary trivia
68fe8c2a-c620-832a-8f18-a6430b01e18e,Terry Wogan statue name
68d254a6-0b64-832e-93fa-044ba2ffdcea,Thesis title investigation
68fbcbce-189c-832f-b935-3a638ce8b0a9,Tom Ford details
68d9ab9e-d0fc-8321-9494-2757e5b6c9a8,Toothpaste unique flavors
68fe8090-8628-8325-8c99-5b2a0ad28dd6,Translator identification
68fb6727-0b70-8329-8d92-8d9c4ed36771,Trial start month
68fb6705-75a8-832d-afea-9e38f551df03,University building inquiry
68fb65ee-f2d8-8328-86a0-3a40ecc18656,Van Nellefabriek landmark
68fe824a-1f7c-832e-a7c3-d8ee94738b4b,William E. Fry search
68fe80b6-4e28-8326-a185-684b930c7dc8,Writer birthdate inquiry
68d2725b-d0e8-8328-9d82-c00574248e40,Writer identification query
68dee89c-ebdc-8327-b811-dbfe6f053fdc,Zeratul ability changes
